tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt10087785,The Replacement,The Replacement,1962,60,Western,8.8,66,6,writer,writer,3,25,Richard Newman,1928,2016,writer
tt10114593,Lily,Lily,1959,30,Western,8.6,46,6,writer,story,2,1,Clair Huffaker,1926,1990,writer
tt10149647,Don Gringo,Don Gringo,1960,25,Western,6.8,32,6,writer,creator,2,10,Andrew J. Fenady,1928,2020,"producer,writer,music_department"
tt10194916,Episode 124,Episode 124,1976,22,"Comedy,Romance",8.0,22,6,writer,created by,1,24,Jerry Adelman,1910,1980,"writer,production_manager,miscellaneous"
tt10196881,Destin 95C,Destin 95C,2012,92,Drama,7.0,8,8,writer,creator,13,3,Thierry Jonquet,1954,2009,writer
tt10200693,The Case of the Caretakers Cat,The Case of the Caretakers Cat,1959,60,"Crime,Drama,Mystery",8.3,294,10,cinematographer,director of photography,2,19,Frank Redman,1901,1966,"cinematographer,camera_department"
tt10224371,Jake Dance,Jake Dance,1963,52,"Action,Crime,Drama",7.1,41,9,producer,producer,4,16,Alan A. Armer,1922,2010,"producer,director,writer"
tt10244568,Rest in Peace,Rest in Peace,1959,30,Adventure,9.2,7,6,writer,written by,2,39,Jerry Adelman,1910,1980,"writer,production_manager,miscellaneous"
tt10253782,Return from the Shadows,Return from the Shadows,1956,30,Western,7.1,10,8,producer,producer,1,9,Alan A. Armer,1922,2010,"producer,director,writer"
tt10275317,The Whip,The Whip,1956,30,"Adventure,Western",5.3,9,8,producer,producer,1,20,Alan A. Armer,1922,2010,"producer,director,writer"
tt10304543,The Case of the Calendar Girl,The Case of the Calendar Girl,1959,52,"Crime,Drama,Mystery",8.0,279,9,cinematographer,director of photography,2,24,Frank Redman,1901,1966,"cinematographer,camera_department"
tt10334982,Tornado Frances,Tornado Frances,1968,60,Western,7.7,57,6,writer,writer,2,4,Charles Lang,1915,2004,"actor,writer,soundtrack"
tt10364194,The Wagon and the Elephant,The Wagon and the Elephant,1978,96,"Action,Adventure,Drama",8.0,121,7,writer,teleplay by,1,3,Jerry Ziegman,1937,1998,"writer,miscellaneous"
tt10433320,Letter of the Law,Letter of the Law,1960,30,"Action,Crime,Drama",7.2,67,7,writer,written by,2,35,Lewis Reed,1921,1970,"writer,producer"
tt10496894,Rumble on Taratupa,Rumble on Taratupa,1965,30,"Comedy,War",7.4,34,7,writer,written by,3,31,Ralph Goodman,1918,1986,writer
tt10767521,Lucy and Viv Visit TiJuana,Lucy and Viv Visit TiJuana,1970,30,Comedy,6.9,31,7,writer,written by,2,19,Ray Singer,1916,1992,"writer,producer,script_department"
tt10938160,Nemesis,Nemesis,1964,51,"Adventure,Crime,Drama",8.1,204,8,producer,producer,2,5,Alan A. Armer,1922,2010,"producer,director,writer"
tt10976635,Millionaire Jerry Bell,Millionaire Jerry Bell,1957,30,Drama,8.2,22,6,writer,written by,3,25,Jerry Adelman,1910,1980,"writer,production_manager,miscellaneous"
tt10979326,The Englishman,The Englishman,1959,30,Western,6.6,11,9,writer,teleplay,2,36,Richard Newman,1928,2016,writer
tt10988857,Worlds End,Worlds End,1964,51,"Adventure,Crime,Drama",7.8,183,8,producer,producer,2,2,Alan A. Armer,1922,2010,"producer,director,writer"
tt10996124,The Torpedo,The Torpedo,1963,52,"Action,Crime,Drama",7.5,40,10,producer,producer,4,28,Alan A. Armer,1922,2010,"producer,director,writer"
tt11015124,Sentenced,Sentenced,1960,30,"Action,Crime,Drama",7.3,67,7,writer,written by,2,20,Lewis Reed,1921,1970,"writer,producer"
tt11146122,The Betrayed,The Betrayed,1967,60,"Drama,Sci-Fi,Thriller",7.2,186,9,producer,producer,1,11,Alan A. Armer,1922,2010,"producer,director,writer"
tt11149067,Fallen Star,Fallen Star,1959,30,"Crime,Drama,Thriller",7.3,43,6,writer,writer,1,27,Sam Ross,1911,1998,writer
tt11176512,The Possessed,The Possessed,1968,60,"Drama,Sci-Fi,Thriller",7.4,154,8,producer,producer,2,17,Alan A. Armer,1922,2010,"producer,director,writer"
tt11185205,Episode 15,Episode 15,1976,22,"Comedy,Romance",7.5,37,6,writer,created by,1,5,Jerry Adelman,1910,1980,"writer,production_manager,miscellaneous"
tt11310948,Oil Part 1,Oil Part 1,1981,133,"Drama,Romance",7.2,157,8,producer,producer,1,1,Philip L. Parslow,1936,2003,"producer,assistant_director,production_manager"
tt11331332,Faiths Way,Faiths Way,1968,60,"Adventure,Western",7.7,24,6,writer,writer,4,26,Martha Wilkerson,1918,1999,writer
tt11331788,Dirty Gertie,Dirty Gertie,1972,30,Comedy,7.2,26,8,writer,creator,5,10,Ray Singer,1916,1992,"writer,producer,script_department"
tt11416945,Ride or Die,Ride or Die,1960,60,Western,7.6,69,6,writer,writer,1,25,Milton Geiger,1907,1971,"writer,director"
tt11417017,Buddy Building,Buddy Building,1992,22,"Adventure,Animation,Comedy",6.7,33,7,writer,writer,1,55,Stephen Levi,1941,2007,writer
tt11503050,Formula for Trouble,Formula for Trouble,1953,26,"Comedy,Drama,Mystery",6.9,15,10,cinematographer,director of photography,1,15,Ellis W. Carter,1906,1964,"cinematographer,camera_department,miscellaneous"
tt11537890,The Hope Chest,The Hope Chest,1960,25,Western,7.7,41,6,writer,creator,2,15,Andrew J. Fenady,1928,2020,"producer,writer,music_department"
tt11557546,Beauty and the Bath,Beauty and the Bath,1959,30,"Comedy,Mystery",6.6,10,8,producer,producer,2,11,Robert L. Welch,1910,1964,"producer,writer,director"
tt11651004,Doctor Dollars,Doctor Dollars,1989,60,"Drama,Romance",5.8,30,8,producer,producer,9,7,Philip L. Parslow,1936,2003,"producer,assistant_director,production_manager"
tt11662748,The Dead of Jericho,The Dead of Jericho,1987,104,"Crime,Drama,Mystery",7.4,1094,8,producer,producer,1,1,Kenny McBain,1946,1989,"producer,director,miscellaneous"
tt11664414,Baby Shoes,Baby Shoes,1960,25,"Action,Crime,Drama",7.2,60,8,writer,written by,2,38,Lewis Reed,1921,1970,"writer,producer"
tt11710621,Chowderhead,Chowderhead,1969,24,"Comedy,Fantasy",8.1,32,10,producer,producer,1,19,Stanley Rubin,1917,2014,"producer,writer,actor"
tt11729971,The Cutters,The Cutters,1980,60,"Drama,Family",6.1,13,6,writer,written by,1,1,Steve Tesich,1942,1996,"writer,miscellaneous"
